AERO,AAAD,AMST,ANTH,APPL,ARAB,ARCH,ARMY,ARTH,ASIA,ASTR,BIOC,BCB,BBSP,BIOL,BMME,BIOS,BCS,BUSI,CATA,CBIO,CBPH,CBMC,CHEM,CHER,CHWA,CHIN,PLAN,CLAR,CLAS,CLSC,CRMH,COMM,CMPL,COMP,EURO,CZCH,DENG,DHYG,DHED,DRAM,DTCH,ECON,EDUC,ENDO,ENGL,ENEC,ENVR,EPID,EXSS,EDMX,SPCL,DPET,FOLK,FREN,GNET,GEOG,GEOL,GERM,GSLL,GLBL,GOVT,GRAD,GREK,HBEH,HPM,HEBR,HNUR,HIST,HUNG,INLS,IDST,ITAL,JAPN,JWST,SWAH,KOR,LTAM,LATN,LFIT,LGLA,LING,MACD,MNGT,MASC,MTSC,MHCH,MATH,MEJO,MCRO,MUSC,NAVS,NBIO,NSCI,NURS,NUTR,OCSC,OCCT,OPER,ORPA,ORAD,ORTH,PATH,PWAD,PEDO,PERI,PRSN,PHRS,DPMP,PHCO,PHCY,DPOP,DPPE,PHIL,PHYA,PHYS,PHYI,PLSH,POLI,PORT,PACE,PROS,PSYC,PUBA,PUBH,PLCY,RADI,RECR,RELI,ROML,RUSS,SPHG,SLAV,SOWO,SOCI,SPAN,SPHS,STOR,ARTS,TOXC,TURK,UKRN,WOLO,WGST,MAYA
101,50,51,50,101,101,94,100,51,52,61,107,55,705,53,89,392,1,89,401,400,705,804,70,101,401,101,50,50,51,150,700,51,55,50,89,280,701,241,705,79,275,50,65,710,50,51,89,600,50,704,290,800,77,101,621,50,70,101,50,87,660,710,101,396,10,101,101,50,401,73,89,101,101,56,112,1,89,101,102,401,50,401,120,51,615,605,50,89,251,51,101,401,61,253,175,845,704,701,731,702,801,128,69,800,710,101,801,738,154,12,766,801,51,201,50,50,280,50,101,607,702,52,401,89,51,432,710,60,50,101,101,86,89,53,100,196,52,50,423,101,401,401,51,401
102,51,53,51,110,102,393,101,52,55,63,108,45,710,55,101,396,2,102,402,423,706,804,71,102,402,102,51,51,55,410,702,53,89,60,159,401,702,251,715,80,396,51,89,811,52,89,190,625,51,706,400,801,89,102,622,52,71,102,51,88,661,711,102,600,20,102,102,51,402,89,111,102,102,60,234,2,101,102,103,402,89,402,131,52,710,610,51,100,291,52,190,411,71,254,240,855,720,702,732,704,802,426,89,801,711,102,802,815,155,13,801,807,52,202,51,395,401,52,102,700,722,53,402,420,54,442,770,61,51,102,190,101,403,54,101,400,53,59,442,102,402,402,56,
190,53,54,52,190,123,395,102,53,56,89,442,1,890,57,150,500,3,106,,607,710,805,72,203,403,111,52,110,56,410,704,57,120,65,190,402,703,252,720,81,402,52,101,812,53,101,205,626,89,707,493,802,130,105,623,53,72,105,52,89,662,712,203,601,30,203,203,52,403,151,112,203,160,100,401,50,291,203,104,403,101,403,223,53,715,611,52,101,292,53,196,412,89,261,245,890,720,704,733,705,803,462,101,803,721,203,815,862,156,14,803,810,53,203,52,643,402,54,111,803,732,54,635,500,55,461,775,62,52,203,350,248,404,56,102,401,54,72,701,203,,403,64,
196,54,55,53,240,150,396,190,54,57,101,601,2,901,61,160,511,4,107,,627,741,807,73,204,,150,53,120,57,420,706,61,121,80,239,403,704,253,730,82,403,53,111,821,54,108,230,695,141,708,,803,202,150,624,54,73,203,53,110,663,713,204,609,40,204,204,53,404,161,113,204,162,101,402,51,350,204,105,404,138,404,310,55,720,625,53,102,449,54,201,450,175,301,295,896,725,705,750,706,805,464,108,804,723,204,890,863,158,15,804,899,54,205,53,993,403,57,203,804,751,55,709,510,60,462,790,63,53,204,351,250,489,57,105,402,55,75,702,204,,404,66,
201,89,59,54,260,151,691,196,55,59,101,631,10,902,62,190,512,5,108,,643,791,833,89,305,,203,54,190,58,420,708,62,122,85,252,404,707,257,736,83,404,54,121,993,55,191,240,696,175,709,,804,230,203,625,55,74,204,54,181,664,714,205,610,41,305,220,55,405,201,114,240,203,102,403,3,390,205,106,,145,405,325,57,730,626,54,121,614,55,202,701,190,302,400,994,726,731,762,707,806,713,110,805,731,305,899,864,643,16,805,991,55,206,54,994,404,58,204,806,752,58,710,610,61,463,830,64,54,270,352,296,490,58,111,520,56,78,707,305,,405,68,
202,101,60,56,280,203,692,201,59,60,102,632,12,903,64,201,540,6,188,,993,793,,100,,,204,55,200,59,430,710,63,123,89,257,405,710,257,753,84,405,55,122,,57,201,295,700,180,710,,805,254,204,631,56,75,206,55,193,772,715,221,611,50,306,221,59,406,202,115,241,204,103,404,4,396,221,107,,165,406,330,58,735,664,55,129,630,56,202,702,222,310,600,,727,732,763,710,807,714,120,806,761,306,990,869,701,17,806,,56,208,55,,405,62,212,815,801,62,711,613,63,465,865,65,55,272,428,464,491,59,203,521,60,82,721,,,406,89,
213,130,61,57,290,204,,202,61,61,105,643,15,903,65,205,600,11,189,,994,800,,101,,,212,57,241,60,440,712,73,124,101,259,406,720,261,754,85,896,56,130,,58,202,296,701,181,715,,806,310,255,632,58,76,210,56,196,,720,222,625,51,,305,62,407,203,116,242,231,106,405,32,401,222,108,,200,,345,59,740,665,56,137,631,57,211,703,225,311,611,,728,736,993,802,808,715,134,993,762,,991,,702,18,870,,57,209,61,,406,63,310,820,851,63,719,614,66,471,876,66,56,273,600,469,492,60,204,530,61,89,722,,,,101,
301,159,62,59,390,214,,301,64,63,111,649,16,,81,207,611,90,190,,,850,,101,,,242,58,242,61,440,714,82,130,110,270,411,751,262,760,86,,57,149,,59,203,400,705,191,716,,807,323,260,635,59,77,211,58,210,,721,351,626,52,,306,63,411,318,117,250,246,107,406,37,411,223,109,,201,,364,89,745,680,57,141,632,58,301,704,276,320,620,,729,790,,993,809,716,150,,820,,992,,705,19,872,,58,210,63,,411,66,316,825,853,66,720,615,71,472,880,67,58,274,690,470,495,64,212,540,62,102,735,,,,111,
302,200,89,60,405,250,,302,66,65,202,650,17,,89,209,635,,201,,,851,,102,,,244,59,243,62,442,716,83,131,116,285,469,799,263,774,87,,58,150,,63,204,403,710,205,721,,808,334,262,645,60,79,216,59,281,,725,352,660,93,,407,64,490,382,180,258,277,110,408,5,512,224,110,,202,,365,101,750,685,58,153,635,59,302,705,278,321,630,,736,810,,,810,723,161,,821,,993,,707,20,899,,59,211,89,,412,67,323,830,993,67,721,616,75,473,881,68,60,275,701,490,500,66,252,570,63,103,760,,,,124,
393,201,101,61,411,253,,401,77,69,205,651,18,,101,215,645,,202,,,852,,102,,,252,89,244,63,442,718,85,132,126,347,490,890,264,834,88,,89,181,,66,208,404,711,206,722,,809,340,280,646,61,89,220,60,282,,726,395,690,20,,408,66,,384,184,300,305,143,,6,690,331,111,,203,,380,101,755,690,59,157,640,60,311,708,290,330,640,,755,993,,,815,725,205,,891,,994,,710,21,900,,60,212,100,,490,70,351,832,,68,722,690,76,574,890,69,61,276,702,580,501,68,253,582,64,104,792,,,,127,
